dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607495,2022-01-28 14:15:31.000,66.5,-17.8,693.2,441.8,False,False,False,43.744,2.99,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:15:41.000,66.0,-2.9,687.7,441.8,False,False,False,51.504,13.088,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:15:51.000,66.0,42.7,679.9,441.9,False,False,False,72.688,20.758,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:01.000,66.0,-69.9,701.1,441.9,False,False,False,30.048,0.0,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:11.000,66.0,0.4,692.3,441.9,False,False,False,0.064,0.0,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:21.000,66.0,56.5,683.1,442.0,False,False,False,42.944,0.0,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:31.000,66.0,26.4,686.5,442.0,False,False,False,57.184,9.622,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:41.000,66.0,-22.4,693.2,442.1,False,False,False,50.416,5.618,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:16:51.000,66.0,-53.0,695.7,442.1,False,False,False,16.784,0.0,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:01.000,66.0,0.5,692.0,442.1,False,False,False,0.0,0.0,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:11.000,66.0,0.4,692.0,442.1,False,False,False,0.0,0.0,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:21.000,66.0,0.4,692.1,442.1,False,False,False,0.0,0.0,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:31.000,66.0,0.4,692.1,442.1,False,False,False,0.0,0.0,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:41.000,66.0,6.4,691.4,442.1,False,False,False,8.224,8.458,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:17:51.000,66.0,0.4,692.2,442.1,False,False,False,,0.0,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:01.000,66.0,0.4,692.2,442.1,False,False,False,0.0,0.0,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:11.000,66.0,-1.2,688.9,442.1,False,False,False,15.856,24.424,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:21.000,66.0,20.1,684.5,442.1,False,False,False,49.184,20.758,,1563.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:31.000,66.0,29.7,685.7,442.2,False,False,False,60.08,10.598,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:41.000,66.0,16.2,683.9,442.2,False,False,False,59.088,15.24,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:18:51.000,66.0,-20.9,691.4,442.3,False,False,False,54.352,0.0,,1563.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:01.000,66.0,26.8,686.4,442.3,False,False,False,53.36,13.288,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:11.000,66.0,-58.1,695.1,442.3,False,False,False,39.008,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:21.000,66.0,0.3,691.6,442.3,False,False,False,,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:31.000,66.0,0.3,691.5,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:41.000,66.0,0.3,691.6,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:19:51.000,66.0,0.5,691.6,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:01.000,66.0,0.5,691.7,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:11.000,66.0,0.4,691.7,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:21.000,66.0,0.3,691.8,442.3,False,False,False,0.0,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:31.000,66.0,33.6,686.7,442.3,False,False,False,26.624,26.376,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:41.000,66.0,36.8,684.6,442.4,False,False,False,51.792,8.946,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:20:51.000,66.0,-18.3,692.9,442.4,False,False,False,44.512,0.0,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:01.000,66.0,41.2,680.7,442.5,False,False,False,54.0,21.246,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:11.000,65.5,35.0,684.9,442.5,False,False,False,54.112,11.436,,1564.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:21.000,66.0,-62.5,696.4,442.5,False,False,False,3.648,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:31.000,66.0,0.3,691.1,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:41.000,66.0,0.5,691.2,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:21:51.000,66.0,0.5,691.2,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:01.000,66.0,0.3,691.3,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:11.000,66.0,0.3,691.4,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:21.000,66.0,0.5,691.4,442.5,False,False,False,0.0,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:31.000,65.5,33.9,686.7,442.5,False,False,False,22.336,31.544,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:41.000,65.5,28.2,685.3,442.6,False,False,False,57.808,10.948,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:22:51.000,65.5,-53.4,693.8,442.6,False,False,False,41.312,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:23:01.000,65.5,-25.9,691.6,442.6,False,False,False,1.216,0.0,,1565.0,10.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
